ident,type,name,iata_code,coordinates
ENSK,medium_airport,Stokmarknes Skagen Airport,SKN,"15.033416748047, 68.578826904297"
ENSN,medium_airport,Skien Airport,SKE,"9.566940307617188, 59.185001373291016"
ENSO,medium_airport,Stord Airport,SRP,"5.340849876403809, 59.791900634765625"
ENTO,medium_airport,"Sandefjord Airport, Torp",TRF,"10.258600235, 59.1866989136"
ENZV,large_airport,Stavanger Airport Sola,SVG,"5.6377801895, 58.876701354"
EPBY,medium_airport,Bydgoszcz Ignacy Jan Paderewski Airport,BZG,"17.9776992798, 53.096801757799994"
EPKT,large_airport,Katowice International Airport,KTW,"19.08, 50.4743"
EPMO,large_airport,Modlin Airport,WMI,"20.6518, 52.451099"
EPOK,medium_airport,Oksywie Military Air Base,QYD,"18.51720047, 54.57970047"
EPRA,medium_airport,Radom Airport,RDO,"21.213300705, 51.3891983032"
EPSY,medium_airport,Olsztyn-Mazury Airport,SZY,"20.9377, 53.481899"
EPWA,large_airport,Warsaw Chopin Airport,WAW,"20.967100143399996, 52.1656990051"
ESDF,medium_airport,Ronneby Airport,RNB,"15.265000343323, 56.266700744629"
ESGG,large_airport,Gothenburg-Landvetter Airport,GOT,"12.279800415039, 57.662799835205"
ESGP,medium_airport,Gothenburg City Airport,GSE,"11.8704, 57.7747"
ESKK,medium_airport,Karlskoga Airport,KSK,"14.49590015411377, 59.34590148925781"
ESKM,medium_airport,Mora Airport,MXX,"14.5114, 60.957901"
ESKN,medium_airport,Stockholm Skavsta Airport,NYO,"16.912200927734375, 58.78860092163086"
ESMK,medium_airport,Kristianstad Airport,KID,"14.08549976348877, 55.92169952392578"
ESMQ,medium_airport,Kalmar Airport,KLR,"16.287599563598633, 56.68550109863281"
ESMT,medium_airport,Halmstad Airport,HAD,"12.820199966430664, 56.69110107421875"
ESND,medium_airport,Sveg Airport,EVG,"14.422900199890137, 62.04779815673828"
ESNL,medium_airport,Lycksele Airport,LYC,"18.71619987487793, 64.54830169677734"
ESNQ,medium_airport,Kiruna Airport,KRN,"20.336799621582, 67.821998596191"
ESNV,medium_airport,Vilhelmina Airport,VHM,"16.833599090576172, 64.5791015625"
ESNX,medium_airport,Arvidsjaur Airport,AJR,"19.28190040588379, 65.59030151367188"
ESOH,medium_airport,Hagfors Airport,HFS,"13.578900337219238, 60.02009963989258"
ESOK,medium_airport,Karlstad Airport,KSD,"13.337400436400001, 59.444698333699996"
ESSA,large_airport,Stockholm-Arlanda Airport,ARN,"17.918600082397, 59.651901245117"
ESSB,medium_airport,Stockholm-Bromma Airport,BMA,"17.941699981689453, 59.354400634765625"
ESSD,medium_airport,Borlange Airport,BLE,"15.515199661254883, 60.422000885009766"
ESST,medium_airport,Torsby Airport,TYF,"12.991299629199998, 60.1576004028"
ESSU,medium_airport,Eskilstuna Airport,EKT,"16.70840072631836, 59.35110092163086"
ESSV,medium_airport,Visby Airport,VBY,"18.346200942993, 57.662799835205"
ESUD,medium_airport,Storuman Airport,SQO,"17.69659996032715, 64.96089935302734"
ESUP,medium_airport,Pajala Airport,PJA,"23.068899154663086, 67.24559783935547"
ESUT,medium_airport,Hemavan Airport,HMV,"15.0828, 65.806099"
ETAD,medium_airport,Spangdahlem Air Base,SPM,"6.69250011444, 49.9726982117"
ETAR,large_airport,Ramstein Air Base,RMS,"7.600279808044434, 49.4369010925293"
ETHF,medium_airport,Fritzlar Army Airfield,FRZ,"9.286, 51.1146"
ETMN,medium_airport,Nordholz Naval Airbase,FCN,"8.658499717709999, 53.7677001953"
ETNG,medium_airport,Geilenkirchen Air Base,GKE,"6.04242, 50.9608"
ETNL,medium_airport,Rostock-Laage Airport,RLG,"12.278300285299999, 53.9182014465"
ETNS,medium_airport,Schleswig Air Base,WBG,"9.51633, 54.459301"
ETOU,medium_airport,Wiesbaden Army Airfield,WIE,"8.325400352478027, 50.049800872802734"
ETSI,medium_airport,Ingolstadt Manching Airport,IGS,"11.534000396728516, 48.7156982421875"
EVDA,medium_airport,Daugavpils Intrenational Airport,DGP,"26.6650009155, 55.944721221900004"
EVRA,large_airport,Riga International Airport,RIX,"23.971099853515625, 56.92359924316406"
EVVA,medium_airport,Ventspils International Airport,VNT,"21.5442008972, 57.35779953"
EYKA,medium_airport,Kaunas International Airport,KUN,"24.084800720214844, 54.96390151977539"
EYPA,medium_airport,Palanga International Airport,PLQ,"21.093900680541992, 55.973201751708984"
EYVI,large_airport,Vilnius International Airport,VNO,"25.285801, 54.634102"
GB-OUK,medium_airport,Outer Skerries Airport,OUK,"-0.75, 60.4252"
GCFV,medium_airport,Fuerteventura Airport,FUE,"-13.863800048828125, 28.452699661254883"
GCHI,medium_airport,Hierro Airport,VDE,"-17.887100219726562, 27.814800262451172"
GCLA,large_airport,La Palma Airport,SPC,"-17.7556, 28.626499"
GCLP,large_airport,Gran Canaria Airport,LPA,"-15.38659954071045, 27.931900024414062"
GCRR,medium_airport,Lanzarote Airport,ACE,"-13.6052, 28.945499"
GCTS,large_airport,Tenerife South Airport,TFS,"-16.5725002289, 28.044500351"
GCXO,large_airport,Tenerife Norte Airport,TFN,"-16.3414993286, 28.4827003479"
GEML,medium_airport,Melilla Airport,MLN,"-2.9562599659, 35.279800415"
LATI,large_airport,Tirana International Airport Mother Teresa,TIA,"19.7206001282, 41.4146995544"
LBBG,large_airport,Burgas Airport,BOJ,"27.515199661254883, 42.56959915161133"
LBGO,medium_airport,Gorna Oryahovitsa Airport,GOZ,"25.712900161743164, 43.15140151977539"
LBPD,medium_airport,Plovdiv International Airport,PDV,"24.8508, 42.067799"
LBSF,large_airport,Sofia Airport,SOF,"23.411436080932617, 42.696693420410156"
LBWN,large_airport,Varna Airport,VAR,"27.8251, 43.232101"
LCRA,large_airport,RAF Akrotiri,AKT,"32.9879, 34.590401"
LDDU,medium_airport,Dubrovnik Airport,DBV,"18.268199920654297, 42.5614013671875"
LDOS,medium_airport,Osijek Airport,OSI,"18.810199737548828, 45.46269989013672"
LDPL,medium_airport,Pula Airport,PUY,"13.922200202941895, 44.89350128173828"
LDRI,medium_airport,Rijeka Airport,RJK,"14.570300102233887, 45.21689987182617"
LDSB,medium_airport,Bol Airport,BWK,"16.67970085144043, 43.285701751708984"
LDSP,medium_airport,Split Airport,SPU,"16.29800033569336, 43.53889846801758"
LDZA,large_airport,Zagreb Airport,ZAG,"16.0687999725, 45.7429008484"
LDZD,medium_airport,Zadar Airport,ZAD,"15.3467, 44.108299"
LEAB,medium_airport,Albacete-Los Llanos Airport,ABC,"-1.8635200262099998, 38.9485015869"
LEAL,large_airport,Alicante International Airport,ALC,"-0.5581560134887695, 38.28219985961914"
LEAS,medium_airport,Asturias Airport,OVD,"-6.0346198081970215, 43.5635986328125"
LEBB,medium_airport,Bilbao Airport,BIO,"-2.9106099605560303, 43.30110168457031"
LEBG,medium_airport,Burgos Airport,RGS,"-3.62076, 42.357601"
LEBL,large_airport,Barcelona International Airport,BCN,"2.07846, 41.2971"
LEBZ,medium_airport,Badajoz Airport,BJZ,"-6.8213300704956055, 38.891300201416016"
LECU,medium_airport,Cuatro Vientos Airport,ECV,"-3.78514, 40.370701"
LEDA,medium_airport,Lleida-Alguaire Airport,ILD,"0.535023, 41.728185"
LEGE,medium_airport,Girona Airport,GRO,"2.7605500221, 41.901000977"
LEGR,medium_airport,Federico Garcia Lorca Airport,GRX,"-3.777359962463379, 37.18870162963867"
LEIB,medium_airport,Ibiza Airport,IBZ,"1.3731199502899998, 38.872898101800004"
LEJR,medium_airport,Jerez Airport,XRY,"-6.060110092163086, 36.744598388671875"
LELC,medium_airport,San Javier Airport,MJV,"-0.8123890161514282, 37.775001525878906"
LELN,medium_airport,Leon Airport,LEN,"-5.65556001663208, 42.5890007019043"
LEMH,medium_airport,Menorca Airport,MAH,"4.218649864196777, 39.86259841918945"
LEMO,medium_airport,Moron Air Base,OZP,"-5.615940093994141, 37.17490005493164"
LEPA,large_airport,Palma De Mallorca Airport,PMI,"2.73881006241, 39.551700592"
LEPP,medium_airport,Pamplona Airport,PNA,"-1.6463299989700317, 42.77000045776367"
LERS,medium_airport,Reus Air Base,REU,"1.1671700477600098, 41.14739990234375"
LERT,medium_airport,Rota Naval Station Airport,ROZ,"-6.34946012497, 36.645198822"
LESA,medium_airport,Salamanca Airport,SLM,"-5.501989841461182, 40.95209884643555"
LESO,medium_airport,San Sebastian Airport,EAS,"-1.7906099557876587, 43.35649871826172"
LEST,large_airport,Santiago de Compostela Airport,SCQ,"-8.415140151977539, 42.89630126953125"
LETL,medium_airport,Teruel Airport,TEV,"-1.2183, 40.403"
LEVC,medium_airport,Valencia Airport,VLC,"-0.481625, 39.4893"
LEVD,medium_airport,Valladolid Airport,VLL,"-4.85194015503, 41.7061004639"
LEVT,medium_airport,Vitoria/Foronda Airport,VIT,"-2.7244699001312256, 42.8828010559082"
LEVX,medium_airport,Vigo Airport,VGO,"-8.62677001953125, 42.2318000793457"
LEXJ,medium_airport,Santander Airport,SDR,"-3.82000994682312, 43.427101135253906"
LEZG,medium_airport,Zaragoza Air Base,ZAZ,"-1.0415500402450562, 41.66619873046875"
LEZL,medium_airport,Sevilla Airport,SVQ,"-5.8931097984313965, 37.417999267578125"
LFAC,medium_airport,Calais-Dunkerque Airport,CQF,"1.954759955406189, 50.962100982666016"
LFAV,medium_airport,Valenciennes-Denain Airport,XVS,"3.46126, 50.325802"
LFBA,medium_airport,Agen-La Garenne Airport,AGF,"0.5905560255050659, 44.17470169067383"
LFBI,medium_airport,Poitiers-Biard Airport,PIS,"0.30666598677635193, 46.58769989013672"
LFBL,medium_airport,Limoges Airport,LIG,"1.1794400215148926, 45.86280059814453"
LFBO,large_airport,Toulouse-Blagnac Airport,TLS,"1.36382, 43.629101"
LFBZ,medium_airport,Biarritz-Anglet-Bayonne Airport,BIQ,"-1.5311111, 43.4683333"
LFCC,medium_airport,Cahors-Lalbenque Airport,ZAO,"1.4752800464630127, 44.35139846801758"
LFCK,medium_airport,Castres-Mazamet Airport,DCM,"2.289180040359497, 43.55630111694336"
LFCR,medium_airport,Rodez-Marcillac Airport,RDZ,"2.4826700687408447, 44.407901763916016"
LFDN,medium_airport,Rochefort-Saint-Agnant (BA 721) Airport,RCO,"-0.9830560088157654, 45.88779830932617"
LFGA,medium_airport,Colmar-Houssen Airport,CMR,"7.359010219573975, 48.109901428222656"
LFGJ,medium_airport,Dole-Tavaux Airport,DLE,"5.435063, 47.042686"
LFHP,medium_airport,Le Puy-Loudes Airport,LPY,"3.762890100479126, 45.0806999206543"
LFJL,medium_airport,Metz-Nancy-Lorraine Airport,ETZ,"6.25131988525, 48.9821014404"
LFJR,medium_airport,Angers-Loire Airport,ANE,"-0.312222, 47.560299"
LFKB,medium_airport,Bastia-Poretta Airport,BIA,"9.48373031616211, 42.55270004272461"
LFKC,medium_airport,Calvi-Sainte-Catherine Airport,CLY,"8.7930556, 42.5244444"
LFKF,medium_airport,Figari Sud-Corse Airport,FSC,"9.097780227661133, 41.5005989074707"
LFKS,medium_airport,Solenzara (BA 126) Air Base,SOZ,"9.406000137329102, 41.924400329589844"
LFLA,medium_airport,Auxerre-Branches Airport,AUF,"3.497109889984131, 47.85020065307617"
LFLC,medium_airport,Clermont-Ferrand Auvergne Airport,CFE,"3.1691699028, 45.7867012024"
LFLD,medium_airport,Bourges Airport,BOU,"2.3702800273895264, 47.058101654052734"
LFLI,medium_airport,Annemasse Airport,QNJ,"6.268390178680001, 46.1920013428"
LFLN,medium_airport,Saint-Yan Airport,SYT,"4.0132598876953125, 46.412498474121094"
LFLO,medium_airport,Roanne-Renaison Airport,RNE,"4.001389980316162, 46.05830001831055"
LFLP,medium_airport,Annecy-Haute-Savoie-Mont Blanc Airport,NCY,"6.1063889, 45.9308333"
LFLU,medium_airport,Valence-Chabeuil Airport,VAF,"4.9699, 44.9216"
LFLV,medium_airport,Vichy-Charmeil Airport,VHY,"3.4037399291992188, 46.169700622558594"
LFLW,medium_airport,Aurillac Airport,AUR,"2.4219400882720947, 44.89139938354492"
LFLY,medium_airport,Lyon-Bron Airport,LYN,"4.944270133972168, 45.72719955444336"
LFMD,medium_airport,Cannes-Mandelieu Airport,CEQ,"6.95348, 43.542"
LFMK,medium_airport,Carcassonne Airport,CCF,"2.3063199520111084, 43.215999603271484"
LFML,large_airport,Marseille Provence Airport,MRS,"5.22142410278, 43.439271922"
LFMO,medium_airport,Orange-Caritat (BA 115) Air Base,XOG,"4.866720199584961, 44.140499114990234"
LFMQ,medium_airport,Le Castellet Airport,CTT,"5.785190105438232, 43.252498626708984"
LFMV,medium_airport,Avignon-Caumont Airport,AVN,"4.901830196380615, 43.90729904174805"
LFNB,medium_airport,Mende-Brenoux Airfield,MEN,"3.53282, 44.502102"
LFOH,medium_airport,Le Havre Octeville Airport,LEH,"0.08805599808692932, 49.53390121459961"
LFOP,medium_airport,Rouen Airport,URO,"1.1748000383377075, 49.38420104980469"
LFOT,medium_airport,Tours-Val-de-Loire Airport,TUF,"0.727605998516, 47.4322013855"
LFOU,medium_airport,Cholet Le Pontreau Airport,CET,"-0.8770639896392822, 47.08209991455078"
LFOV,medium_airport,Laval-Entrammes Airport,LVA,"-0.7429860234260559, 48.03139877319336"
LFPB,medium_airport,Paris-Le Bourget Airport,LBG,"2.441390037536621, 48.969398498535156"
LFPC,medium_airport,Creil Air Base,CSF,"2.5191400051116943, 49.253501892089844"
LFPG,large_airport,Charles de Gaulle International Airport,CDG,"2.55, 49.012798"
LFPN,medium_airport,Toussus-le-Noble Airport,TNF,"2.1061899662017822, 48.75189971923828"
LFPO,large_airport,Paris-Orly Airport,ORY,"2.3794444, 48.7233333"
LFQG,medium_airport,Nevers-Fourchambault Airport,NVS,"3.1133298873901367, 47.002601623535156"
LFQQ,medium_airport,Lille-Lesquin Airport,LIL,"3.086886, 50.563332"
LFQT,medium_airport,Merville-Calonne Airport,HZB,"2.642240047454834, 50.61840057373047"
LFRB,medium_airport,Brest Bretagne Airport,BES,"-4.418540000915527, 48.447898864746094"
LFRC,medium_airport,Cherbourg-Maupertus Airport,CER,"-1.4702800512313843, 49.65010070800781"
LFRD,medium_airport,Dinard-Pleurtuit-Saint-Malo Airport,DNR,"-2.0799601078033447, 48.58769989013672"
LFRE,medium_airport,La Baule-Escoublac Airport,LBY,"-2.3463900089263916, 47.289398193359375"
LFRF,medium_airport,Granville Airport,GFR,"-1.564170002937317, 48.88309860229492"
LFRG,medium_airport,Deauville-Saint-Gatien Airport,DOL,"0.154305994511, 49.3652992249"
LFRH,medium_airport,Lorient South Brittany (Bretagne Sud) Airport,LRT,"-3.440000057220459, 47.76060104370117"
LFRI,medium_airport,La Roche-sur-Yon Airport,EDM,"-1.3786300420761108, 46.701900482177734"
LFRJ,medium_airport,Landivisiau Air Base,LDV,"-4.151639938354492, 48.53030014038086"
LFRK,medium_airport,Caen-Carpiquet Airport,CFR,"-0.44999998807907104, 49.173301696777344"
LFRM,medium_airport,Le Mans-Arnage Airport,LME,"0.20166699588298798, 47.94860076904297"
LFRN,medium_airport,Rennes-Saint-Jacques Airport,RNS,"-1.73479, 48.0695"
LFRQ,medium_airport,Quimper-Cornouaille Airport,UIP,"-4.167789936065674, 47.974998474121094"
LFRS,medium_airport,Nantes Atlantique Airport,NTE,"-1.61073005199, 47.153198242200006"
LFRT,medium_airport,Saint-Brieuc-Armor Airport,SBK,"-2.85444, 48.5378"
LFRU,medium_airport,Morlaix-Ploujean Airport,MXN,"-3.81577992439, 48.6031990051"
LFRV,medium_airport,Vannes-Meucon Airport,VNE,"-2.718559980392456, 47.72330093383789"
LFRZ,medium_airport,Saint-Nazaire-Montoir Airport,SNR,"-2.1566667, 47.3105556"
LFSB,large_airport,EuroAirport Basel-Mulhouse-Freiburg Airport,BSL,"7.529167, 47.59"
LFSD,medium_airport,Dijon-Bourgogne Airport,DIJ,"5.09, 47.268902"
LFSL,medium_airport,Brive-Souillac,BVE,"1.485556, 45.039722"
LFSN,medium_airport,Nancy-Essey Airport,ENC,"6.230460166931152, 48.692100524902344"
LFST,medium_airport,Strasbourg Airport,SXB,"7.628230094909668, 48.538299560546875"
LGAD,medium_airport,Andravida Air Base,PYR,"21.292601, 37.9207"
LGAL,medium_airport,Dimokritos Airport,AXD,"25.956300735473633, 40.855899810791016"
LGAV,large_airport,Eleftherios Venizelos International Airport,ATH,"23.9444999695, 37.9364013672"
LGBL,medium_airport,Nea Anchialos Airport,VOL,"22.794300079345703, 39.219600677490234"
LGHI,medium_airport,Chios Island National Airport,JKH,"26.140600204467773, 38.34320068359375"
LGIO,medium_airport,Ioannina Airport,IOA,"20.822500228881836, 39.6963996887207"
LGIR,large_airport,Heraklion International Nikos Kazantzakis Airport,HER,"25.180299758900002, 35.3396987915"
LGKF,medium_airport,Kefallinia Airport,EFL,"20.500499725341797, 38.12009811401367"
LGKL,medium_airport,Kalamata Airport,KLX,"22.02549934387207, 37.06829833984375"
LGKO,medium_airport,Kos Airport,KGS,"27.091699600219727, 36.79330062866211"
LGKP,medium_airport,Karpathos Airport,AOK,"27.145999908447266, 35.4213981628418"
LGKR,medium_airport,Ioannis Kapodistrias International Airport,CFU,"19.911699295043945, 39.601898193359375"
LGKV,medium_airport,Alexander the Great International Airport,KVA,"24.619199752807617, 40.913299560546875"
LGKZ,medium_airport,Filippos Airport,KZI,"21.84079933166504, 40.28609848022461"
LGMK,medium_airport,Mikonos Airport,JMK,"25.348100662231445, 37.43510055541992"
LGMT,medium_airport,Mytilene International Airport,MJT,"26.5983009338, 39.0567016602"
LGPZ,medium_airport,Aktion National Airport,PVK,"20.765300750732422, 38.925498962402344"
LGRP,medium_airport,Diagoras Airport,RHO,"28.086200714111328, 36.405399322509766"
LGRX,medium_airport,Araxos Airport,GPA,"21.4256, 38.1511"
LGSA,medium_airport,Chania International Airport,CHQ,"24.149700164794922, 35.531700134277344"
LGSK,medium_airport,Skiathos Island National Airport,JSI,"23.503700256347656, 39.177101135253906"
LGSM,medium_airport,Samos Airport,SMI,"26.911699295043945, 37.689998626708984"
LGSR,medium_airport,Santorini Airport,JTR,"25.479299545288086, 36.399200439453125"
LGST,medium_airport,Sitia Airport,JSH,"26.101299285888672, 35.21609878540039"
LGTS,large_airport,Thessaloniki Macedonia International Airport,SKG,"22.97089958190918, 40.51969909667969"
LGZA,medium_airport,"Zakynthos International Airport ""Dionysios Solomos""",ZTH,"20.8843, 37.7509"
LHBP,large_airport,Budapest Liszt Ferenc International Airport,BUD,"19.261093, 47.42976"
LHDC,medium_airport,Debrecen International Airport,DEB,"21.615299224853516, 47.48889923095703"
